result,pnl_pts,pnl_twd,date,month,trigger,target,stop,time_limit
TP,16.0,160.0,2026-02-24,2026-02,期貨開盤,20,10,3
TP,16.0,160.0,2026-02-25,2026-02,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-02-26,2026-02,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-03,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-05,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-10,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-11,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-17,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-18,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-20,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-24,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-03-25,2026-03,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-03-26,2026-03,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-01,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-08,2026-04,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-04-09,2026-04,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-04-10,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-14,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-15,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-16,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-21,2026-04,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-04-23,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-04-24,2026-04,期貨開盤,20,10,3
TP,16.0,160.0,2026-05-06,2026-05,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-05-07,2026-05,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-05-12,2026-05,期貨開盤,20,10,3
TP,16.0,160.0,2026-05-14,2026-05,期貨開盤,20,10,3
SL,-14.0,-140.0,2026-05-15,2026-05,期貨開盤,20,10,3
TP,16.0,160.0,2026-05-21,2026-05,期貨開盤,20,10,3
TP,16.0,160.0,2026-05-22,2026-05,期貨開盤,20,10,3
